Code,Area,Housing_Average,Housing_Median,CC_w_MSOA,BC_w_MSOA,crime_rate,NOx_index,Num_Schools_MSOA,E02000001,percent_green_blue,AVERAGE_AGE
E02000017,Barking and Dagenham 016,338900.75,372500.0,4.326103896,86736838.81,80.0,90.0,3,12761.23021,30.32142886,93.564087016
E02000018,Barking and Dagenham 017,325064.5,309250.0,4.100522876,30975551.16,75.0,90.0,1,14393.25636,40.9410671,83.286009928
E02000019,Barking and Dagenham 018,293019.25,299250.0,3.90357513,17295728.17,106.0,96.0,5,15810.78156,43.06917041,79.32713967
E02000020,Barking and Dagenham 019,290258.25,296620.75,4.144969339,13921626.46,91.0,83.0,3,13701.18409,29.05242592,76.764350588
E02000021,Barking and Dagenham 020,277241.5,286500.0,3.719416667,19109183.35,82.0,85.0,4,17097.38348,32.8603488,79.60929622
E02000022,Barking and Dagenham 021,233149.75,239062.5,4.410900901,26254508.25,101.0,107.0,1,12111.80717,29.05242592,48.438033512
E02000023,Barking and Dagenham 022,249414.0,225312.5,4.061744186,8466095.407,73.0,92.0,4,14289.93091,38.62352013,51.0866712525
E02000024,Barnet 001,584470.75,541250.0,3.94374359,7337204.744,68.0,72.0,8,17680.91499,76.25511646,90.68742775
E02000025,Barnet 002,489034.0,417250.0,4.057954545,4938587.28,54.0,71.0,3,16766.71432,76.25511646,70.59626888400001
E02000026,Barnet 003,558811.5,560000.0,4.123166667,6039437.083,38.0,73.0,2,15448.17016,52.51651689,72.0706428675
E02000027,Barnet 004,489678.0,508500.0,3.961560976,6395437.044,59.0,72.0,4,16443.28513,65.11645385,66.9054131
E02000028,Barnet 005,540121.75,464375.0,4.240392157,22513670.92,58.0,81.0,1,15578.01143,49.62907637,73.0666105875
E02000029,Barnet 006,473899.5,475062.5,4.230496454,12095533.05,66.0,80.0,2,15014.68052,52.51651689,79.289009062
E02000030,Barnet 007,1129266.25,890875.0,4.003085783,15338020.8,43.0,74.0,6,16657.58289,65.11645385,72.41189208499999
E02000031,Barnet 008,670633.0,522937.5,4.422835821,40361140.49,70.0,83.0,6,14292.70808,49.62907637,74.157752118
E02000032,Barnet 009,687503.75,677500.0,4.393826087,9516641.304,37.0,81.0,3,13391.34032,47.20507896,82.83219635200001
E02000033,Barnet 010,472367.75,480625.0,4.501230769,17066397.55,64.0,86.0,4,13013.51262,47.20507896,71.53312273399999
E02000034,Barnet 011,534940.75,484812.5,4.6,31152385.89,53.0,84.0,1,13036.60516,49.62907637,83.644359252
E02000035,Barnet 012,637808.25,546250.0,4.566853147,13113520.58,38.0,81.0,4,13513.33694,77.13599449,70.639611666
E02000036,Barnet 013,520285.25,504987.5,4.15408377,12719899.07,48.0,102.0,2,16901.97887,66.61855218,71.027803465
E02000037,Barnet 014,578186.75,562250.0,4.032819803,13500043.69,45.0,83.0,5,18374.58216,64.20108309,66.423974165
E02000038,Barnet 015,544991.25,571750.0,4.725460526,26539949.66,64.0,94.0,7,12020.46933,47.19197961,82.63393332166667
E02000039,Barnet 016,973351.5,782437.5,4.364888889,19083118.98,75.0,100.0,3,15268.78262,68.74013346,80.6861324275
E02000040,Barnet 017,669258.25,562992.5,4.461687243,8913720.782,55.0,76.0,12,14347.24908,68.74013346,68.99233562
E02000041,Barnet 018,509396.5,492475.0,4.27034965,20507628.62,96.0,86.0,4,16643.66274,64.20108309,84.72144111200001
E02000042,Barnet 019,491401.5,441512.75,4.776557377,40820957.08,78.0,93.0,6,12321.18579,39.9418746,85.39461367666667
E02000043,Barnet 020,721919.25,769000.0,4.671881188,6847035.624,31.0,81.0,0,13089.44317,39.9418746,89.665872248
E02000044,Barnet 021,476948.5,401250.0,4.392195122,9778803.22,46.0,93.0,5,15440.97218,43.89298442,85.703554468
E02000045,Barnet 022,493535.5,445125.0,4.826256684,17016366.99,83.0,102.0,4,11048.67979,47.19197961,67.22369621666667
E02000046,Barnet 023,654065.0,556250.0,4.85875,40314401.69,63.0,94.0,0,11755.08927,39.9418746,97.54667852
E02000047,Barnet 024,361215.5,358125.0,4.452887324,25998982.51,69.0,87.0,5,15323.68681,43.89298442,77.03404569
E02000048,Barnet 025,622952.0,530125.0,4.633732719,14632737.14,59.0,91.0,3,13115.66494,68.74013346,69.58400925000001
E02000049,Barnet 026,392635.5,386875.0,4.472352941,2540659.882,50.0,90.0,2,14442.48592,32.85954256,39.584869315999995
E02000050,Barnet 027,519546.75,434187.5,4.959166667,31135816.58,71.0,102.0,4,10980.53423,42.83492543,80.98916774
E02000051,Barnet 028,761853.25,633562.5,4.962727273,56400688.62,65.0,104.0,8,11543.98532,45.85598021,79.449653276
E02000052,Barnet 029,633052.25,567187.5,5.107581699,40664529.88,57.0,95.0,4,10052.63137,55.82714315,85.68353470666666
E02000053,Barnet 030,423029.5,406250.0,4.664256757,44228733.05,59.0,91.0,1,13821.3986,32.85954256,46.494084224
E02000054,Barnet 031,584437.0,493375.0,4.779,23039681.92,47.0,112.0,3,12984.26695,42.35057015,77.4426453175
E02000055,Barnet 032,653125.0,491736.25,4.898766234,42409241.72,83.0,99.0,9,12223.8511,42.35057015,83.52484309666666
E02000056,Barnet 033,1989600.0,1360375.0,5.205909091,36678032.58,51.0,96.0,7,9485.805151,64.12307397,85.02191655333333
E02000057,Barnet 034,711545.0,622075.0,5.006062992,37024423.04,56.0,114.0,5,11551.97726,42.35057015,87.267749925
E02000058,Barnet 035,883842.0,798687.5,5.138176471,35796613.65,64.0,100.0,7,10413.9547,64.12307397,101.537459395
E02000059,Barnet 036,430614.0,451843.75,4.841888112,39218521.7,60.0,100.0,7,12686.87654,48.74431306,73.51535333
E02000060,Barnet 037,944983.0,843125.0,5.115811966,32908444.72,45.0,114.0,5,10735.70095,37.73529281,94.20058975666666
E02000061,Barnet 038,1068672.25,760000.0,5.311764706,30374062.27,100.0,103.0,2,9419.303925,44.36879476,89.02560026
E02000062,Barnet 039,487423.75,501500.0,5.031265294,28108967.26,231.0,125.0,4,10866.23511,37.73529281,83.5371029425
E02000063,Barnet 040,503674.0,469250.0,5.242946429,10738966.04,48.0,105.0,2,10039.54972,44.36879476,78.998042485
E02000064,Barnet 041,768967.5,584875.0,5.380135135,14889535.53,67.0,110.0,1,9169.06121,44.36879476,81.97834163249999
E02000065,Bexley 001,258974.25,265875.0,3.722663755,2713184.266,62.0,74.0,4,15901.63041,64.71117169,38.4243845
E02000066,Bexley 002,291101.75,302875.0,3.770987654,4680417.975,82.0,79.0,4,15642.56791,64.71117169,51.146661421666664
E02000067,Bexley 003,266091.0,257500.0,3.667385892,7844566.817,59.0,76.0,6,17087.54423,52.38928321,75.48443529
E02000068,Bexley 004,249727.25,247498.75,3.461165414,5653126.203,87.0,78.0,0,18419.79806,53.31236654,65.9840230275
E02000069,Bexley 005,275000.0,263245.0,3.600060241,11420052.38,35.0,75.0,3,17864.83737,53.31236654,72.1303341225
E02000070,Bexley 006,365768.5,363937.5,3.833058824,17915313.96,29.0,79.0,2,16128.12472,27.73301822,78.88400322
E02000071,Bexley 007,323600.0,320125.0,3.611587302,7751709.714,44.0,75.0,4,17813.9259,26.64467225,83.31817595999999
E02000072,Bexley 008,258770.5,271862.5,3.291054217,2730899.087,77.0,70.0,2,20698.86181,67.03878895,60.71550475285714
E02000073,Bexley 009,404584.0,406900.0,3.954471545,16889334.52,25.0,82.0,3,15951.09957,27.73301822,84.56401045428571
E02000074,Bexley 010,270199.0,274125.0,3.439759036,4268851.753,52.0,82.0,1,19393.65681,42.08705879,59.519462104
E02000075,Bexley 011,420670.75,418375.0,3.792868217,9705774.922,21.0,76.0,2,17158.47827,26.94506835,83.94354481799999
E02000077,Bexley 013,369649.0,383125.0,4.117241379,13567615.39,28.0,79.0,2,15272.00293,38.31781823,84.320332304
E02000078,Bexley 014,329971.75,317125.0,3.576302521,7938876.067,29.0,73.0,2,18841.89971,42.08705879,89.03863131
E02000079,Bexley 015,353876.5,351500.0,3.876071429,26245021.08,135.0,85.0,2,17286.94519,33.83251326,84.14945457399999
E02000080,Bexley 016,355891.5,365000.0,4.233049645,43115242.09,53.0,85.0,4,15019.84662,39.1977302,83.39037272666667
E02000081,Bexley 017,334573.5,334187.5,3.693762887,11870160.28,46.0,81.0,6,18665.59244,33.83251326,71.144904634
E02000082,Bexley 018,389990.75,372250.0,4.3209,29659704.69,29.0,92.0,3,14085.38093,39.1977302,85.19503992166666
E02000083,Bexley 019,296582.25,295000.0,3.438233333,4235946.08,61.0,77.0,5,20242.17938,44.58943251,76.38288268833334
E02000084,Bexley 020,440392.5,421750.0,3.939877551,19152478.01,28.0,92.0,7,16755.65013,26.94506835,79.35482961857143
E02000085,Bexley 021,360218.0,335000.0,4.051742424,17536227.63,39.0,93.0,2,15888.64771,40.58960711,81.39116355
E02000086,Bexley 022,404119.25,380563.75,4.134178082,8833714.658,27.0,77.0,4,15345.25295,35.15767288,76.14411695999999
E02000087,Bexley 023,480938.5,438562.5,3.64746888,4661476.68,38.0,83.0,2,18841.52538,76.56024561,71.194621698
E02000088,Bexley 024,420225.75,398875.0,3.845299145,8968245.325,26.0,77.0,2,17171.76166,40.58960711,79.488114404
E02000089,Bexley 025,456927.0,452000.0,4.216698113,16162707.01,27.0,81.0,1,15119.48982,35.15767288,82.41149026400001
E02000090,Bexley 026,367957.0,327437.5,4.05451087,10578109.2,60.0,85.0,6,16164.70768,41.99871903,70.486899104
E02000091,Bexley 027,368372.0,357044.25,3.928047619,10033242.38,40.0,78.0,3,17271.36705,42.80822435,71.03733354333333
E02000092,Bexley 028,318738.5,300250.0,3.705141243,5158283.616,58.0,70.0,4,18904.72834,76.56024561,65.118155115
E02000093,Brent 001,472717.25,494000.0,4.476722689,34091985.96,58.0,86.0,4,15382.43939,34.06216103,78.48184844333333
E02000094,Brent 002,369760.5,347662.5,4.663909091,26968644.59,70.0,90.0,2,14208.20105,57.52719976,79.315024914
E02000095,Brent 003,482655.0,523750.0,4.514666667,25218028.36,78.0,88.0,8,15163.99193,46.74625177,78.78386596200001
E02000096,Brent 004,611069.25,668750.0,4.358911565,34713775.33,52.0,83.0,3,16392.61239,46.74625177,78.747538512
E02000097,Brent 005,451684.25,463522.0,4.7175,10773735.11,56.0,87.0,2,13772.52575,47.41266335,84.039307166
E02000098,Brent 006,546160.75,555625.0,4.517154472,24306654.83,44.0,86.0,2,14891.60882,54.87313713,69.918545534
E02000099,Brent 007,425397.75,448125.0,4.478454545,9681765.177,52.0,88.0,1,15733.88852,42.10712407,70.136372606
E02000100,Brent 008,677639.5,640625.0,4.279508197,37512549.58,56.0,87.0,1,16871.05304,52.21030282,77.027250152
E02000101,Brent 009,462779.25,368750.0,4.780122699,48454151.03,78.0,96.0,7,13594.38382,54.87313713,65.150333998
E02000102,Brent 010,353138.5,326625.0,4.919387755,12587439.21,51.0,104.0,2,12438.23032,44.36321895,76.83173977749999
E02000103,Brent 011,463334.5,405625.0,5.072905983,6257380.299,73.0,105.0,6,11264.60266,44.36321895,70.351647914
E02000104,Brent 012,457102.75,483500.0,4.631547619,38214044.13,74.0,97.0,6,14846.94643,42.10712407,77.83929016
E02000105,Brent 013,342348.25,285250.0,4.4546875,51843364.18,65.0,94.0,3,16111.8888,51.57876001,71.75241218800001
E02000106,Brent 014,475288.5,442237.5,5.029666667,76624331.31,106.0,126.0,2,11982.40377,32.94117167,86.02265152666666
E02000107,Brent 015,705089.25,510437.5,5.323116883,27773021.75,67.0,104.0,2,9984.985141,41.95480306,105.14596353833333
E02000108,Brent 016,390737.0,377375.0,4.373815789,50144896.88,43.0,96.0,0,16839.43717,51.57876001,77.8164629625
E02000109,Brent 017,426421.75,403937.5,4.740192308,27058932.79,106.0,95.0,2,13628.65675,26.57382162,70.34213744166667
E02000110,Brent 018,765971.25,758125.0,5.284716981,31953508.77,56.0,105.0,1,10588.45058,32.94117167,94.33852536399999
E02000111,Brent 019,401042.5,357187.5,4.565504587,35911274.87,76.0,98.0,1,15311.81975,34.69840459,78.024411902
E02000112,Brent 020,390144.5,366937.5,4.809672131,71451898.03,117.0,106.0,4,13960.00144,34.69840459,88.72766603400001
E02000113,Brent 021,308758.5,271000.0,4.960876289,17330919.15,109.0,120.0,5,12422.6161,27.45725991,60.618899578333334
E02000114,Brent 022,549437.0,499106.25,5.398382353,72869992.82,82.0,111.0,4,10121.85745,44.71174967,107.41946322199999
E02000115,Brent 023,670949.75,549312.5,5.5335,81338266.4,91.0,116.0,1,9082.394064,48.03211108,87.501111168
E02000116,Brent 024,446759.25,441312.5,5.326142857,72409811.77,90.0,105.0,3,10623.55657,44.71174967,89.11851304
E02000117,Brent 025,411581.25,386312.5,5.21062069,37698929.62,108.0,116.0,4,11444.27046,28.04263387,85.32878961666667
E02000118,Brent 026,378439.75,408375.0,4.707979798,4048375.596,72.0,96.0,3,14031.09133,31.2896363,81.04852988
E02000119,Brent 027,436604.25,442000.0,5.06,49642155.02,119.0,109.0,2,12581.72928,27.45725991,50.5068302575
E02000120,Brent 028,705640.0,583743.75,5.671864407,88688256.51,105.0,116.0,3,8017.660513,27.88159528,108.572177014
E02000121,Brent 029,367252.0,355000.0,4.697164179,54204290.7,100.0,95.0,1,14719.85738,34.69840459,74.79575016800001
E02000122,Brent 030,1273018.5,991875.0,5.495820896,44872241.61,54.0,102.0,5,9360.777058,48.03211108,94.256889788
E02000123,Brent 031,547049.75,497500.0,5.36974359,98748396.95,123.0,136.0,6,10924.89696,28.04263387,106.46518031285714
E02000124,Brent 032,1018181.5,763075.0,5.646116505,43185246.06,99.0,123.0,6,8561.757636,39.47513351,105.79908588
E02000125,Brent 033,868855.0,838821.25,5.520892857,68162305.89,58.0,120.0,1,9743.457076,27.65011731,112.31487453333334
E02000126,Brent 034,635040.25,595000.0,5.658644068,12148840.27,65.0,124.0,5,7542.08172,27.88159528,61.521915875
E02000127,Bromley 001,378940.0,330312.5,4.543023256,43377910.88,81.0,80.0,6,12926.70341,54.54069674,78.556717455
E02000128,Bromley 002,490343.0,464125.0,4.244304636,21066601.02,69.0,75.0,2,15334.8803,74.16235288,77.89788449
E02000130,Bromley 004,532793.25,485000.0,5.025714286,57965871.23,93.0,86.0,2,11132.79846,43.87249509,98.831981564
E02000131,Bromley 005,402374.25,367550.0,5.117741935,46479171.84,91.0,90.0,0,10738.38837,57.9547019,84.301738516
E02000132,Bromley 006,445066.25,394373.25,4.808071066,26068313.37,86.0,87.0,1,11914.84982,49.20603829,55.522547608
E02000133,Bromley 007,722528.5,644375.0,4.165038363,16778107.48,43.0,75.0,8,15667.54298,74.16235288,61.318481813333335
E02000134,Bromley 008,416150.75,374999.5,4.496175115,30227714.44,123.0,85.0,4,13763.1756,60.73290278,83.8981294142857
E02000135,Bromley 009,357342.75,333966.25,4.993948718,31645050.24,84.0,89.0,4,11662.79826,43.87249509,68.60489774333332
E02000136,Bromley 010,586487.5,459250.0,3.863953488,19329916.94,69.0,71.0,5,17368.93529,42.53240421,68.3688831875
E02000137,Bromley 011,481754.75,393750.0,4.523333333,15841806.08,43.0,79.0,4,13463.35483,49.20603829,67.907138116
E02000138,Bromley 012,523228.75,461625.0,4.609325843,15711948.98,33.0,82.0,3,13127.15801,49.20603829,59.412802639999995
E02000139,Bromley 013,491876.25,436250.0,4.832920354,36602507.39,54.0,83.0,5,12268.66672,40.91230159,95.867871002
E02000140,Bromley 014,331365.0,331250.25,3.695714286,6077308.417,81.0,75.0,4,18569.41981,42.53240421,67.4573886
E02000141,Bromley 015,412097.5,389000.0,4.895526316,77742347.93,67.0,86.0,1,12427.88014,40.91230159,94.162106258
E02000142,Bromley 016,566676.0,496624.5,4.2898125,21553692.5,46.0,85.0,6,15023.0175,49.27639301,74.2636091
E02000144,Bromley 018,451482.75,413659.5,4.322119565,28014043.69,115.0,85.0,5,14842.79702,47.86026872,76.07670622399999
E02000145,Bromley 019,286083.5,292500.0,3.527976942,3167318.921,114.0,64.0,5,20830.88935,77.82445478,59.547825646
E02000146,Bromley 020,409003.75,411375.0,4.142318841,24614898.64,42.0,79.0,4,16001.0407,68.49596591,85.538021046
E02000147,Bromley 021,733203.25,734687.5,4.357054264,13070330.12,29.0,78.0,2,14780.16305,47.86026872,73.310461538
E02000148,Bromley 022,693242.25,642643.75,3.965454545,5539051.292,48.0,70.0,3,17290.43213,49.27639301,74.122812255
E02000149,Bromley 023,374864.75,346175.0,3.644319527,8909997.059,73.0,72.0,2,19356.62162,42.53240421,75.556986998
E02000150,Bromley 024,572712.0,522500.0,4.49183908,37537600.68,69.0,76.0,3,14630.53139,52.96093747,76.95943210200001
E02000152,Bromley 026,414474.0,410000.0,3.910487805,8644765.817,52.0,70.0,1,17523.04946,68.49596591,67.3832354825
E02000153,Bromley 027,574742.25,591868.75,4.138098592,11921352.44,25.0,73.0,2,16269.223,73.65518685,82.742077416
E02000154,Bromley 028,403791.75,338543.75,3.582189055,18147179.01,89.0,72.0,2,19901.15317,51.99789761,75.086246248
E02000155,Bromley 029,374086.25,363625.0,3.484207317,5422711.689,40.0,69.0,2,20863.12894,40.27660049,74.301861128
E02000156,Bromley 030,516571.25,482500.0,4.170604396,27139047.37,35.0,76.0,5,16329.22816,51.55442862,79.53103989625001
E02000157,Bromley 031,539787.25,530000.0,3.572889908,4487523.862,19.0,69.0,2,19571.17163,65.1238428,67.776536612
E02000158,Bromley 032,466349.75,446875.0,3.380362319,1940268.964,51.0,65.0,4,21657.66644,40.27660049,60.008441622
E02000159,Bromley 033,883376.25,657000.0,3.785229358,22762109.74,51.0,68.0,5,19146.97826,68.49596591,71.40357516
E02000160,Bromley 034,601055.75,573056.25,3.993949045,21733795.72,44.0,66.0,7,18085.80434,73.65518685,80.94049401800001
E02000161,Bromley 035,464308.5,455812.5,3.430203252,4784509.675,22.0,66.0,2,21187.02626,79.84446048,64.85609230200001
E02000162,Bromley 036,447548.0,438000.0,3.515465116,8928489.384,48.0,59.0,5,22084.03293,65.1238428,64.2481918175
E02000163,Bromley 037,584092.0,497500.0,3.306175439,3708963.544,43.0,60.0,7,23371.91755,79.84446048,70.961444942
E02000165,Bromley 039,367061.25,359875.0,3.180283688,4404541.369,42.0,58.0,1,23613.51808,69.48785886,51.583619028
E02000166,Camden 001,1264387.25,726016.5,5.609102564,27434018.5,81.0,98.0,3,7118.437837,77.53350635,89.507135464
E02000167,Camden 002,1981800.75,1255000.0,5.597692308,45877713.74,78.0,105.0,9,7754.376643,72.45220689,106.433243106
E02000168,Camden 003,955845.0,782545.0,5.820123457,78481342.43,113.0,126.0,4,5700.23966,24.27639397,104.379218366
E02000169,Camden 004,2243306.25,1350625.0,5.573555556,30594601.16,54.0,113.0,8,8037.17108,52.95088584,95.746296794
E02000170,Camden 005,885507.25,781093.75,5.481923077,33250983.53,55.0,113.0,3,8749.370252,45.12591697,106.65483566799999
E02000171,Camden 006,1067047.25,763962.5,5.748235294,40460400.62,57.0,126.0,4,6248.748751,35.85223332,102.11819616400001
E02000172,Camden 007,687179.5,564368.75,5.830288462,31543260.25,79.0,124.0,5,5500.574614,34.86444295,68.67215607666667
E02000173,Camden 008,2023852.75,1363925.0,5.716266667,41567937.27,81.0,135.0,22,6880.938578,52.95088584,97.014515716
E02000174,Camden 009,668186.0,521250.0,5.897317073,35268513.55,68.0,122.0,1,4838.084302,24.27639397,100.50650571
E02000175,Camden 010,786833.25,746043.75,5.587671233,48053712.89,89.0,135.0,0,7811.88128,27.17698357,100.20022791400001
E02000176,Camden 011,1285551.0,1021250.0,5.791914894,25344821.11,51.0,121.0,6,6427.505377,41.11877869,106.942160565
E02000177,Camden 012,954907.25,672500.0,5.885125,45431845.56,103.0,126.0,3,5477.411173,34.86444295,79.558443678
E02000178,Camden 013,636634.5,584375.0,5.614,115199368.2,94.0,127.0,2,8272.928909,27.17698357,96.723425716
E02000179,Camden 014,1128723.5,855000.0,5.840240964,19659844.84,65.0,136.0,2,6025.404189,41.11877869,77.66826292500001
E02000180,Camden 015,773547.25,671868.75,5.963166667,62643320.17,84.0,140.0,2,4264.476907,34.68184956,85.66057645
E02000181,Camden 016,882604.25,756250.0,5.694285714,38663754.71,54.0,114.0,3,7346.177741,48.8007663,110.940278096
E02000182,Camden 017,1294584.25,848500.0,5.792823529,48782704.8,97.0,138.0,4,6215.031573,48.8007663,78.1044049275
E02000183,Camden 018,1716527.25,1115000.0,5.949026549,35633665.02,242.0,117.0,4,5073.979121,30.9521666,87.245710218
E02000184,Camden 019,671627.5,585000.0,6.029294118,72515885.52,132.0,145.0,4,4097.133403,30.9521666,68.546629554
E02000185,Camden 020,635198.25,518000.0,5.776666667,94374969.19,107.0,133.0,2,7169.150455,31.77793553,70.273069534
E02000186,Camden 021,1148097.0,638300.0,6.1115,90278607.33,532.0,142.0,2,4166.479074,38.45596739,86.892009005
E02000187,Camden 022,1100428.75,988718.75,6.058023256,66340950.04,98.0,140.0,7,3311.693271,20.79059588,69.969935298
E02000188,Camden 023,597709.5,552750.0,6.175,79570771.56,71.0,149.0,2,3608.964432,38.45596739,64.42264254
E02000189,Camden 024,790828.75,724766.25,6.259350649,26238222.81,169.0,166.0,0,2329.901959,26.35088938,91.38180593
E02000190,Camden 025,665038.75,570625.0,6.296764706,63983843.88,152.0,154.0,1,2551.269737,26.35088938,92.479272506
E02000191,Camden 026,1078727.5,718750.0,6.196486486,44062565.41,385.0,184.0,0,3031.644058,16.18853115,80.70683833
E02000192,Camden 027,950776.0,832125.0,6.338023256,128090063.5,147.0,154.0,3,1630.885831,14.30727426,78.8626367425
E02000193,Camden 028,876559.5,715612.5,6.394292237,187772617.0,656.0,187.0,5,2145.460019,14.30727426,83.2755915675
E02000194,Croydon 001,459316.0,395768.75,5.135680751,42269284.37,84.0,89.0,6,11040.14556,53.89805047,74.81894852600001
E02000195,Croydon 002,512104.5,487118.75,5.162866667,20917209.24,59.0,89.0,7,11023.81068,54.02872584,85.524210112
E02000196,Croydon 003,437915.25,436875.0,5.070405405,53447966.07,67.0,88.0,2,11779.52619,54.02872584,90.1635991025
E02000197,Croydon 004,421254.75,400750.0,5.007850467,43791866.08,64.0,87.0,1,12278.54339,36.31869255,92.75359676000001
E02000198,Croydon 005,319347.25,322125.0,4.991851852,9971019.046,77.0,90.0,5,12109.16625,33.63280489,91.61383438
E02000199,Croydon 006,355168.5,344687.5,4.922839506,21547004.14,62.0,90.0,0,12425.75756,33.63280489,100.861725722
E02000200,Croydon 007,343101.75,319687.5,4.896838235,45333976.07,90.0,87.0,2,12456.9324,33.30862964,83.258256596
E02000201,Croydon 008,305283.25,285062.5,4.780952381,27936012.39,100.0,86.0,2,12893.77564,33.30862964,82.630379592
E02000202,Croydon 009,357560.75,365000.0,4.872753623,47165766.65,65.0,85.0,4,12933.3095,28.26076646,104.93836685166667
E02000203,Croydon 010,313712.25,308250.0,4.845,19026957.62,117.0,92.0,3,13129.18701,28.26076646,98.078291342
E02000204,Croydon 011,332186.5,327125.0,4.797708333,53652297.59,88.0,91.0,2,13505.00543,32.8632205,98.09621428666667
E02000206,Croydon 013,310788.5,312250.0,4.73472973,42472044.16,103.0,88.0,8,13794.28461,29.02490406,95.67772050333333
E02000207,Croydon 014,330643.75,332500.0,4.588382353,18692401.21,68.0,85.0,3,14168.70157,43.35544669,76.76064203
E02000208,Croydon 015,280202.75,287187.0,4.707154472,25745496.11,104.0,90.0,3,14091.53754,32.8632205,78.115838062
E02000209,Croydon 016,313397.75,324999.75,4.565461538,33494437.8,89.0,91.0,3,14386.97378,32.8632205,84.711290942
E02000210,Croydon 017,364441.5,376246.25,4.502990654,5716367.252,49.0,82.0,4,14491.92524,23.86392344,95.80070346
E02000211,Croydon 018,412561.0,412187.5,4.373756098,11125955.58,34.0,76.0,2,14977.60247,45.336851,62.730568108
E02000212,Croydon 019,303447.0,325312.25,4.58232,41484272.76,137.0,94.0,1,15073.0731,18.14320991,94.70176139200001
E02000213,Croydon 020,289535.0,280025.0,4.595347222,38678272.1,177.0,96.0,3,14841.96638,18.14320991,76.695184116
E02000214,Croydon 021,457822.5,457750.0,4.427435897,33612620.64,48.0,84.0,0,15156.96989,36.36023992,95.8709749175
E02000215,Croydon 022,355725.0,342190.0,4.447115385,25799828.74,68.0,89.0,3,15150.31641,23.86392344,94.51424985333334
E02000216,Croydon 023,471480.25,392750.0,4.301558442,16213849.9,39.0,80.0,5,16198.8782,61.29221785,55.921184905000004
E02000217,Croydon 024,293307.5,302812.5,4.398403756,26823976.65,186.0,98.0,6,15888.13197,40.6798802,80.26606297800001
E02000218,Croydon 025,473363.5,511875.0,4.148360656,9620539.844,44.0,73.0,3,16537.48968,67.90194142,72.071595065
E02000219,Croydon 026,486290.25,475750.0,4.163248945,29116461.48,69.0,73.0,8,16932.60303,67.90194142,78.16435666800001
E02000220,Croydon 027,329453.25,314546.75,4.332345679,40046332.11,251.0,102.0,9,16262.53622,57.9651771,75.493375516
E02000221,Croydon 028,340346.75,336375.0,4.18912844,21254203.77,82.0,89.0,7,17403.44252,40.6798802,65.041208696
E02000222,Croydon 029,389047.0,337106.25,4.149333333,23128006.19,62.0,84.0,4,17443.13241,57.9651771,87.49587933000001
E02000223,Croydon 030,282305.5,282375.0,3.771348315,9027264.73,71.0,73.0,4,18563.11385,29.08452256,57.000091078000004
E02000224,Croydon 031,375685.75,343250.0,4.004,25364048.32,77.0,84.0,1,18444.25841,57.9651771,97.258509558
E02000225,Croydon 032,316366.5,318000.0,3.671142857,5360831.39,56.0,67.0,2,19365.04249,42.50381296,71.716843614
E02000226,Croydon 033,477534.0,467500.0,3.884672897,8332556.645,36.0,72.0,5,18357.93669,70.87041623,80.39316284600001
E02000227,Croydon 034,311270.75,305625.0,3.783915663,8281883.883,45.0,67.0,4,19173.92556,77.12792495,55.72323792375
